municipality_code,municipality,availability_status,feed_ids,scope_note,checked_at,source_evidence
352012,下関市,not_confirmed_in_checked_sources,,山口県オープンデータカタログサイトの下関市データセット47件（全3ページ）にバス・GTFS関連は無かった。市内主要バス事業者サンデン交通の公式バス情報ページにもGTFSの記載は無い。今回確認した公式資料の範囲での結果であり、GTFSが存在しないと断定するものではない。,2026-08-09,evidence/20260809_gtfs_source_ydata_org_35201.txt;evidence/20260809_gtfs_source_ydata_org_35201_p2.txt;evidence/20260809_gtfs_source_ydata_org_35201_p3.txt;evidence/20260809_gtfs_source_official_sandenkotsu_bus.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352021,宇部市,confirmed,sentetsu-odpt-gtfsjp,宇部市自身の公式データセットにGTFSの記載は無く、市が自ら公開しているとは確認できない。市内で運行する船木鉄道の公式GTFSが対象地域に宇部市を明記している。市域全体・全路線を網羅するとは公式記載からは確認していない。,2026-08-09,evidence/20260809_gtfs_source_ydata_res_352021_bus.txt;evidence/20260809_gtfs_source_official_ube.txt;evidence/20260809_gtfs_source_odpt_sentetsu.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352039,山口市,not_confirmed_in_checked_sources,,公式データセットページに「本市では該当するデータを保有しておりません。」と明記。,2026-08-09,evidence/20260809_gtfs_source_ydata_ds_busdata.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352047,萩市,not_confirmed_in_checked_sources,,「萩循環まぁーるバス」関連の公式データセット2件のうち1件はリンク先ページが404、もう1件のリンク先ページにGTFSの記載は無かった。,2026-08-09,evidence/20260809_gtfs_source_official_hagi1.txt;evidence/20260809_gtfs_source_official_hagi2.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352063,防府市,not_confirmed_in_checked_sources,,公式データセットページに「『標準的なバス情報フォーマット』につきましては、データを保有しておりません。」と明記。,2026-08-09,evidence/20260809_gtfs_source_ydata_res_352063-bus_information.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352071,下松市,not_confirmed_in_checked_sources,,「バス情報」は下松市公式ページへのリンクのみでGTFSの記載は無い。「公共交通マップ」（下松市・周南市合同作成）はPDF/PNG/ZIP資源を持つが、内容は路線図・時刻表・乗換案内リンクでありGTFSの記載は無い。,2026-08-09,evidence/20260809_gtfs_source_official_kudamatsu.txt;evidence/20260809_gtfs_source_ydata_ds_352071_public_transport.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352080,岩国市,confirmed,iwakuni-gtfsjp,公式データセット名称にある生活交通バス・由宇地区バスが対象。市域全体・全路線を網羅するとは公式記載からは確認していない。,2026-08-09,evidence/20260809_gtfs_source_ydata_ds_352080-gtfsjp.txt;evidence/20260809_gtfs_source_ydata_res_iwakuni_gtfs.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352101,光市,confirmed,hikari-gtfs,公式データセット名称にある広域生活交通、ひかりぐるりんバス、光市営バスが対象。市域全体・全路線を網羅するとは公式記載からは確認していない。,2026-08-09,evidence/20260809_gtfs_source_ydata_ds_352101_kotsu001.txt;evidence/20260809_gtfs_source_ydata_res_hikari_gtfs.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352110,長門市,not_confirmed_in_checked_sources,,公式データセット「R7.10バス・JR時刻表」はPDF時刻表で、GTFSの記載は無い。,2026-08-09,evidence/20260809_gtfs_source_ydata_ds_r6-4-jr.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
352128,柳井市,not_confirmed_in_checked_sources,,公式データセットページに「柳井市では標準的なバス情報フォーマットに該当するデータを保有しておりません。」と明記。,2026-08-09,evidence/20260809_gtfs_source_ydata_res_352128_bus.txt;evidence/20260809_i4_soumu_local_gov_code_list.pdf;evidence/20260809_i4_soumu_local_gov_code_list_inspection.txt
