registration_no,office_seq,office_name,office_location,ownership,vehicle_type,vehicle_type_label,count,count_kei,source_pdf,source_page
中山福第1号,1,豆たん介護センター,下関市内日下1027-3,所有,車いす車,車いす車(軽),2,1,000271730.pdf,1
中山福第1号,1,豆たん介護センター,下関市内日下1027-3,所有,セダン等,セダン等(軽),1,1,000271730.pdf,1
中山福第1号,1,豆たん介護センター,下関市内日下1027-3,所有,合計,合計(軽),3,2,000271730.pdf,1
中山福第3号,1,特定非営利活動法人らいと,下関市秋根南町１丁目１－５,所有,車いす車,車いす車(軽),9,6,000271730.pdf,2
中山福第3号,1,特定非営利活動法人らいと,下関市秋根南町１丁目１－５,所有,セダン等,セダン等(軽),1,1,000271730.pdf,2
中山福第3号,1,特定非営利活動法人らいと,下関市秋根南町１丁目１－５,所有,合計,合計(軽),10,7,000271730.pdf,2
中山福第4号,1,まんてんの星,下関市菊川町大字田部５３６－１,所有,車いす車,車いす車(軽),1,0,000271730.pdf,3
中山福第4号,1,まんてんの星,下関市菊川町大字田部５３６－１,所有,セダン等,セダン等(軽),2,2,000271730.pdf,3
中山福第4号,1,まんてんの星,下関市菊川町大字田部５３６－１,所有,合計,合計(軽),3,2,000271730.pdf,3
中山福第6号,1,桑陽病院腎友会,防府市車塚町3番２０号,所有,車いす車,車いす車(軽),1,1,000271730.pdf,4
中山福第6号,1,桑陽病院腎友会,防府市車塚町3番２０号,所有,合計,合計(軽),1,1,000271730.pdf,4
中山市福第1号,1,阿知須出張所,山口市阿知須2740,,車いす車,車いす車(軽),1,1,000230003.pdf,1
中山市福第1号,1,阿知須出張所,山口市阿知須2740,,合計,合計(軽),1,1,000230003.pdf,1
中山福第3号,1,阿武町社会福祉協議会,阿武郡阿武町大字奈古３０８１−５,,車いす車,車いす車(軽),1,1,000230003.pdf,2
中山福第3号,1,阿武町社会福祉協議会,阿武郡阿武町大字奈古３０８１−５,,合計,合計(軽),1,1,000230003.pdf,2
中山市福第4号,1,下関市菊川総合支所,下関市菊川町大字下岡枝１４８０番地１,,車いす車,車いす車(軽),1,1,000230003.pdf,3
中山市福第4号,1,下関市菊川総合支所,下関市菊川町大字下岡枝１４８０番地１,,合計,合計(軽),1,1,000230003.pdf,3
中山市福第4号,2,下関市豊田総合支所,下関市豊田町大字殿敷１９１８番地１,,車いす車,車いす車(軽),1,0,000230003.pdf,3
中山市福第4号,2,下関市豊田総合支所,下関市豊田町大字殿敷１９１８番地１,,合計,合計(軽),1,0,000230003.pdf,3
中山市福第4号,3,下関市豊浦総合支所,下関市豊浦町大字川棚６８９５番地１,,車いす車,車いす車(軽),1,1,000230003.pdf,3
中山市福第4号,3,下関市豊浦総合支所,下関市豊浦町大字川棚６８９５番地１,,合計,合計(軽),1,1,000230003.pdf,3
中山市福第4号,4,下関市豊北総合支所,下関市豊北町大字滝部３１４０番地１,,車いす車,車いす車(軽),1,0,000230003.pdf,3
中山市福第4号,4,下関市豊北総合支所,下関市豊北町大字滝部３１４０番地１,,合計,合計(軽),1,0,000230003.pdf,3
