取得日時: 2026-08-09 JST
取得元  : https://www.soumu.go.jp/main_content/000925834.pdf （総務省「都道府県コード及び市区町村コード」令和6年1月1日更新。一覧ページ https://www.soumu.go.jp/denshijiti/code.html から辿った）
取得方法: curl -sL
---
PDFバイト数: 251304
PDF SHA256: 75cdb233ac50ad5d611bb81434f97632fac55ae5d8477ec741f39e9f08f94b21
抽出方法: pdfplumber extract_text()。全34ページ中、山口県の記載は24ページ目のみ

=== 24ページ目 抽出テキスト（山口県の行を含む全文） ===
332151 岡山県 美作市 ｵｶﾔﾏｹﾝ ﾐﾏｻｶｼ
332160 岡山県 浅口市 ｵｶﾔﾏｹﾝ ｱｻｸﾁｼ
333468 岡山県 和気町 ｵｶﾔﾏｹﾝ ﾜｹﾁｮｳ
334235 岡山県 早島町 ｵｶﾔﾏｹﾝ ﾊﾔｼﾏﾁｮｳ
334456 岡山県 里庄町 ｵｶﾔﾏｹﾝ ｻﾄｼｮｳﾁｮｳ
334618 岡山県 矢掛町 ｵｶﾔﾏｹﾝ ﾔｶｹﾞﾁｮｳ
335860 岡山県 新庄村 ｵｶﾔﾏｹﾝ ｼﾝｼﾞﾖｳｿﾝ
336068 岡山県 鏡野町 ｵｶﾔﾏｹﾝ ｶｶﾞﾐﾉﾁｮｳ
336220 岡山県 勝央町 ｵｶﾔﾏｹﾝ ｼｮｳｵｳﾁｮｳ
336238 岡山県 奈義町 ｵｶﾔﾏｹﾝ ﾅｷﾞﾁｮｳ
336432 岡山県 西粟倉村 ｵｶﾔﾏｹﾝ ﾆｼｱﾜｸﾗｿﾝ
336637 岡山県 久米南町 ｵｶﾔﾏｹﾝ ｸﾒﾅﾝﾁｮｳ
336661 岡山県 美咲町 ｵｶﾔﾏｹﾝ ﾐｻｷﾁｮｳ
336815 岡山県 吉備中央町 ｵｶﾔﾏｹﾝ ｷﾋﾞﾁｭｳｵｳﾁｮｳ
340006 広島県 ﾋﾛｼﾏｹﾝ
341002 広島県 広島市 ﾋﾛｼﾏｹﾝ ﾋﾛｼﾏｼ
342025 広島県 呉市 ﾋﾛｼﾏｹﾝ ｸﾚｼ
342033 広島県 竹原市 ﾋﾛｼﾏｹﾝ ﾀｹﾊﾗｼ
342041 広島県 三原市 ﾋﾛｼﾏｹﾝ ﾐﾊﾗｼ
342050 広島県 尾道市 ﾋﾛｼﾏｹﾝ ｵﾉﾐﾁｼ
