全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
352080,400001,山口県岩国市,独立行政法人　国立病院機構　岩国医療センター,ドクリツギョウセイホウジン　コクリツビョウインキコウ　イワクニイリョウセンター,,病院,352080,,山口県岩国市愛宕町1丁目1番1号,山口県,岩国市愛宕町1丁目1番1号,,,,34.14349,132.203534,,,0827-34-1000,,0827-35-5600,,,,,1.01321E+12,国立病院機構,3518812684,月火水木金,8:30:00,17:15:00,祝日、12/29～1/3は休診。,,内科、呼吸器内科、循環器内科、消化器内科、血液内科、腎臓内科、神経内科、外科、心臓血管外科、消化器外科、乳腺外科、小児外科、整形外科、脳神経外科、形成外科、胸部外科、精神科、小児科、皮膚科、泌尿器科、産科、婦人科、眼科、耳鼻咽喉科、リハビリテーション科、放射線科、病理診断科、救急科、麻酔科、糖尿病・内分泌内科、肝臓内科、小児循環器科,464,,,https://iwakuni.hosp.go.jp/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400002,山口県岩国市,医療法人 岩国病院,イリョウホウジン　イワクニビョウイン,,病院,352080,,山口県岩国市岩国3丁目2番7号,山口県,岩国市岩国3丁目2番7号,,,,34.163335,132.183858,,,0827-41-0850,,0827-41-1374,,,,,7.25001E+12,医療法人　岩国病院,3510810025,月火水木金土,9:00:00,17:00:00,木曜日と土曜日は午前の診療。祝日、8/14～16、12/31～1/3は休診。,,内科、消化器内科、神経内科、整形外科、小児科、産婦人科、リハビリテーション科,41,,,http://www.岩国病院.jp/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400003,山口県岩国市,錦病院,ニシキビョウイン,,病院,352080,,山口県岩国市錦見7丁目15番7号,山口県,岩国市錦見7丁目15番7号,,,,34.159867,132.18678,,,0827-41-0177,,0827-43-3573,,,,,7.25001E+12,医療法人　錦病院,3510810082,月火水木金土,9:00:00,17:30:00,土曜日は午前の診療。祝日、8/14～16、12/30～1/3は休診。,,内科、消化器外科、外科、整形外科、肛門外科、放射線科、乳腺外科,40,,,https://www.nishiki-hosp.com/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400004,山口県岩国市,岩国第一病院,イワクニダイイチビョウイン,,病院,352080,,山口県岩国市岩国1丁目20番49号,山口県,岩国市岩国1丁目20番49号,,,,34.167104,132.180828,,,0827-41-0019,,0827-41-0026,,,,,8.25001E+12,医療法人　千寿会,3510811742,月火水木金土,9:00:00,18:00:00,木曜日と土曜日は午前の診療。祝日、8/13～15、12/30～1/3は休診。,,内科、呼吸器内科、整形外科、漢方内科、リハビリテーション科,47,,,https://www.iwakuni-daiichi-hosp.com/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400005,山口県岩国市,医療法人光風会 岩国中央病院,イリョウホウジン　コウフウカイ　イワクニチュウオウビョウイン,,病院,352080,,山口県岩国市今津町4丁目15番3号,山口県,岩国市今津町4丁目15番3号,,,,34.163936,132.214293,,,0827-23-1600,,0827-23-1602,,,,,2.25001E+12,医療法人　光風会,3510811486,月火水木金土,8:30:00,17:30:00,月曜日の午後は15:00から診療。火曜日、木曜日と土曜日は午前の診療。祝日、8/13～15、12/30～1/3は休診。,,呼吸器内科、消化器内科、腎臓内科、糖尿病内科、人工透析内科、消化器外科、肛門外科、乳腺外科、血管外科、内視鏡外科、腫瘍外科、整形外科、臨床検査科、放射線診断科、麻酔科,22,,,https://www.iwakuni-chuo.com/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400006,山口県岩国市,岩国みなみ病院,イワクニミナミビョウイン,,病院,352080,,山口県岩国市南岩国町2丁目77番23号,山口県,岩国市南岩国町2丁目77番23号,,,,34.138576,132.192772,,,0827-32-4100,,0827-32-4105,,,,,6.25001E+12,医療法人　岩国みなみ病院,3510811841,月火水木金土,9:00:00,17:30:00,火曜日と土曜日は午前の診療。祝日、8/14～16、12/29～1/3は休診。,,呼吸器内科、呼吸器外科、消化器内科、消化器外科、外科、リハビリテーション科、放射線科、麻酔科,60,,,http://www.iwakuni-minami.or.jp/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400007,山口県岩国市,岩国市医療センター医師会病院,イワクニシイリョウセンターイシカイビョウイン,,病院,352080,,山口県岩国市室の木町3丁目6番12号,山口県,岩国市室の木町3丁目6番12号,,,,34.171213,132.205833,,,0827-21-3211,,0827-21-3412,,,,,3.25001E+12,一般社団法人　岩国市医師会,3510812013,月火水木金土,9:00:00,17:00:00,土曜日は午前の診療。祝日、12/29～1/3は休診。,,内科、消化器内科、循環器内科、小児科、外科、整形外科、脳神経外科、リハビリテーション科、放射線診断科、歯科、麻酔科、血液内科、内分泌内科、腎臓内科、人工透析内科、ペインクリニック内科、緩和ケア内科、脳神経内科、泌尿器科,181,,,http://iwakuni-med.jp/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400008,山口県岩国市,いしい記念病院,イシイキネンビョウイン,,病院,352080,,山口県岩国市多田3丁目102-1,山口県,岩国市多田3丁目102-1,,,,34.181688,132.166775,,,0827-41-0114,,0827-41-0113,,,,,1.25001E+12,医療法人　新生会,3510810561,月火水木金土,9:00:00,16:00:00,土曜日は午前の診療。祝日、12/29～1/3は休診。,,内科、循環器内科、消化器内科、呼吸器内科、放射線科、精神科、リハビリテーション科,207,,,https://i-shinseikai.or.jp/organization/ishiikinen-h/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400009,山口県岩国市,医療法人南和会 千鳥ケ丘病院,イリョウホウジン　ナンワカイ　チドリガオカビョウイン,,病院,352080,,山口県岩国市由宇町千鳥が丘1丁目1番1号,山口県,岩国市由宇町千鳥が丘1丁目1番1号,,,,34.036363,132.213031,,,0827-63-0231,,0827-63-3434,,,,,1.25001E+12,医療法人　南和会,3517210617,月火水木金土,9:30:00,15:30:00,祝日、8/15、12/31～1/3は休診。,,精神科、神経科、神経内科,270,,,http://www.nanwakai.jp/chidori_hos/index.html,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400010,山口県岩国市,医療法人南和会　みどり病院,イリョウホウジン　ナンワカイ　ミドリビョウイン,,病院,352080,,山口県岩国市由宇町359番地1,山口県,岩国市由宇町359番地1,,,,34.027472,132.154287,,,0827-63-0111,,0827-63-2000,,,,,1.25001E+12,医療法人　南和会,3517210872,月火水木金,9:00:00,16:00:00,祝日、8/15、12/31～1/3は休診。,,内科、リハビリテーション科,120,,,http://www.nanwakai.jp/midori_hos/index.html,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400011,山口県岩国市,医療法人社団青山会　リフレまえだ病院,イリョウホウジンシャダン　アオヤマカイ　リフレマエダビョウイン,,病院,352080,,山口県岩国市玖珂町1887番地,山口県,岩国市玖珂町1887番地,,,,34.103978,132.106604,,,0827-82-3521,,0827-82-4812,,,,,5.25001E+12,医療法人社団　青山会,3517210625,月火水木金土,9:00:00,17:00:00,祝日、8/15・16、12/31～1/3は休診。,,内科、心療内科、精神科、放射線科,108,,,https://refre-maeda.jp/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
352080,400012,山口県岩国市,玖珂中央病院,クガチュウオウビョウイン,,病院,352080,,山口県岩国市玖珂町1448番地,山口県,岩国市玖珂町1448番地,,,,34.104447,132.097022,,,0827-82-5123,,0827-82-5125,,,,,1.25001E+12,医療法人　玖玉会,3517210781,月火水木金,9:00:00,17:00:00,祝日、8/13～15、12/29～1/3は休診。,,内科、消化器内科、循環器内科、リハビリテーション科,148,,,http://www.urban.ne.jp/home/kugahosp/,,,記載内容は令和６年11月1日現在のものです。診療日や時間が変更となっている場合があります。また、診療科によって診療終了時間が異なる場合があるので、詳細は各医療機関にお問い合わせください。
