全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,種別,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,子供預かり料金種別,子供預かり料金,子供預かり料金備考,子供預かり開所時間,子供預かり閉所時間,病児保育の有無,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352080,1100001,山口県岩国市,岩国市立ひがし保育園,イワクニシリツヒガシホイクエン,,認可公立保育所,352080,,山口県岩国市桂町2-4-56,山口県,岩国市桂町2-4-56,,,,34.17162,132.233296,,,JR岩国駅から徒歩15分、いわくにバス アメニティ桂バス停から徒歩1分,駐車スペースなし,0827-21-0854,,0827-21-0809,,,,,1000020352080 ,岩国市,1963/4/1,130,6ヶ月から,月火水木金土,7:30:00,19:00:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100002,山口県岩国市,岩国市立かわしも保育園,イワクニシリツカワシモホイクエン,,認可公立保育所,352080,,山口県岩国市中津町2-7-20,山口県,岩国市中津町2-7-20,,,,34.151625,132.215862,,,いわくにバス 鰯場バス停から徒歩1分,園庭駐車可能,0827-21-1657,,0827-21-1657,,,,,1000020352080 ,岩国市,1973/4/1,90,６ヶ月から,月火水木金土,7:30:00,19:00:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100003,山口県岩国市,岩国市立くろいそ保育園,イワクニシリツクロイソホイクエン,,認可公立保育所,352080,,山口県岩国市黒磯町2-47-43,山口県,岩国市黒磯町2-47-43,,,,34.104099,132.193516,,,JR藤生駅から徒歩15分、いわくにバス 黒磯団地バス停から徒歩3分,駐車スペース８台,0827-31-6330,,0827-31-6556,,,,,1000020352080 ,岩国市,1977/4/1,50,6ヶ月から,月火水木金土,7:30:00,19:00:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100004,山口県岩国市,岩国市立えきまえ保育園,イワクニシリツエキマエホイクエン,,認可公立保育所,352080,,山口県岩国市麻里布町7-1-5,山口県,岩国市麻里布町7-1-5,,,,34.1714,132.219061,,,JR岩国駅から徒歩5分、いわくにバス 岩国駅バス停から徒歩5分,駐車スペース3台,0827-22-5830,,0827-22-6030,,,,,1000020352080 ,岩国市,1982/4/1,90,6ヶ月から,日月火水木金土,7:30:00,19:00:00,休日保育対応園。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100005,山口県岩国市,岩国市立にこにこちどりこども園,イワクニシリツニコニコチドリコドモエン,,認可公立保育所,352080,,山口県岩国市由宇町港1-17-1,山口県,岩国市由宇町港1-17-1,,,,34.1713957,132.2190608,,,JR由宇駅から徒歩7分、防長交通 にこにこちどり園前バス停からすぐ,駐車スペース10台,0827-63-0617,,0827-63-0644,,,,,1000020352080 ,岩国市,1987/4/1,120,6ヶ月から,月火水木金土,7:30:00,19:00:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100006,山口県岩国市,岩国市立ほんごう保育園,イワクニシリツホンゴウホイクエン,,認可公立保育所,352080,,山口県岩国市本郷町本郷2058-1,山口県,岩国市本郷町本郷2058-1,,,,34.293515,132.042323,,,岩国市生活交通バス ほんごう保育園前バス停すぐ,駐車スペース５台,0827-75-2658,,0827-75-2081,,,,,1000020352080 ,岩国市,1955/6/1,20,6ヶ月から,月火水木金土,7:45:00,18:00:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100007,山口県岩国市,岩国市立わかば保育園,イワクニシリツワカバホイクエン,,認可公立保育所,352080,,山口県岩国市周東町上久原1100-1,山口県,岩国市周東町上久原1100-1,,,,34.0789709,132.0650041,,,JR高森駅から車で10分,駐車スペース10台,0827-84-2932,,0827-84-2932,,,,,1000020352080 ,岩国市,1975/4/1,50,6ヶ月から,月火水木金土,7:30:00,18:15:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100008,山口県岩国市,岩国市立そお保育園,イワクニシリツソオホイクエン,,認可公立保育所,352080,,山口県岩国市周東町祖生4504-4,山口県,岩国市周東町祖生4504-4,,,,34.0730603,132.1153845,,,JR玖珂駅から車で10分,駐車スペース10台,0827-85-0046,,0827-85-0046,,,,,1000020352080 ,岩国市,1954/5/1,20,6ヶ月から,月火水木金土,7:30:00,18:15:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100010,山口県岩国市,岩国市立ながの保育園,イワクニシリツナガノホイクエン,,認可公立保育所,352080,,山口県岩国市周東町下須通429-3,山口県,岩国市周東町下須通429-3,,,,34.092328,132.011402,,,JR高森駅または米川駅から車で15分、防長交通 西長野バス停から徒歩15分,駐車スペース10台,0827-84-3665,,0827-84-3665,,,,,1000020352080 ,岩国市,1979/4/1,20,6ヶ月から,月火水木金土,7:30:00,18:15:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
352080,1100011,山口県岩国市,岩国市立さかうえこども園,イワクニシリツサカウエコドモエン,,認可公立保育所,352080,,山口県岩国市美和町渋前431-1,山口県,岩国市美和町渋前431-1,,,,34.2279508,132.1040695,,,岩国市生活交通バス 下迫バス停から徒歩5分,駐車スペース20台,0827-96-0335,,0827-96-0399,,,,,1000020352080 ,岩国市,1951/4/1,70,6ヶ月から,月火水木金土,7:30:00,19:00:00,日曜・祝休日はお休み。12月29日～１月3日はお休み。,有,,,,,,,,,,,,http://www.city.iwakuni.lg.jp/soshiki/30/2389html,,,
