全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
352080,1200001,山口県岩国市,岩国市役所,イワクニシヤクショ,,,,,,352080,,山口県岩国市今津町1-14-51,山口県,岩国市今津町1-14-51,,,,34.166571,132.218901,,,0827-29-5000,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,http://www.city.iwakuni.lg.jp,,,車椅子段差対応、障がい者用駐車場有り、スロープ有り、エレベーターあり、多目的トイレ有り、車椅子貸出有り
352080,1200002,山口県岩国市,岩国市役所麻里布分室,イワクニシヤクショマリフブンシツ,,,,,,352080,,山口県岩国市麻里布町6-14-25,山口県,岩国市麻里布町6-14-25,,,,34.168769,132.218485,,,0827-22-0122,,,,,,1.00002E+12,岩国市,火水木金土日,8:30:00,17:15:00,月曜日が祝日の場合は翌日が休館日。祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,車椅子貸出有り
352080,1200003,山口県岩国市,愛宕出張所,アタゴシュッチョウショ,,,,,,352080,,山口県岩国市門前町2-35-2,山口県,岩国市門前町2-35-2,,,,34.145912,132.21229,,,0827-32-6130,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,スロープあり、車イス対応トイレあり、車イス使用者用駐車場あり
352080,1200004,山口県岩国市,岩国出張所,イワクニシュッチョウショ,,,,,,352080,,山口県岩国市岩国3-14-26,山口県,岩国市岩国3-14-26,,,,34.162652,132.185669,,,0827-41-0111,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,出入り口が平坦、スロープあり、点字ブロックあり、車イス対応トイレあり、車イス使用者用駐車場あり
352080,1200005,山口県岩国市,御庄出張所,ミショウシュッチョウショ,,,,,,352080,,山口県岩国市御庄1735,山口県,岩国市御庄1735,,,,34.161888,132.146503,,,0827-46-0001,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,
352080,1200006,山口県岩国市,師木野出張所,シギノシュッチョウショ,,,,,,352080,,山口県岩国市柱野831-1,山口県,岩国市柱野831-1,,,,34.135201,132.148749,,,0827-46-1001,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,スロープあり、車イス対応トイレあり
352080,1200007,山口県岩国市,小瀬出張所,オゼシュッチョウショ,,,,,,352080,,山口県岩国市小瀬285-2,山口県,岩国市小瀬285-2,,,,34.208416,132.192434,,,0827-52-3312,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,スロープあり、車イス対応トイレあり
352080,1200008,山口県岩国市,川下出張所,カワシモシュッチョウショ,,,,,,352080,,山口県岩国市中津町2-1-3,山口県,岩国市中津町2-1-3,,,,34.156147,132.216608,,,0827-23-0641,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,スロープあり、車イス対応トイレあり、車イス使用者用駐車場あり
352080,1200009,山口県岩国市,装港出張所,ショウコウシュッチョウショ,,,,,,352080,,山口県岩国市装束町1-1-43,山口県,岩国市装束町1-1-43,,,,34.193063,132.230059,,,0827-23-6032,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,スロープあり
352080,1200010,山口県岩国市,柱島出張所,ハシラジマシュッチョウショ,,,,,,352080,,山口県岩国市柱島132-7,山口県,岩国市柱島132-7,,,,34.021948,132.421408,,,0827-48-2001,,,,,,1.00002E+12,岩国市,月火水木金,8:30:00,17:15:00,土曜日、日曜日、祝日及び12/29から1/3は利用不可。,,,,,,,,,,,,,,,,,,,,,,出入り口が平坦
